submission_pk,User,mIoU,Background,Cloud shadow,Double plant,Planter skip,Standing water,Waterway,Weed cluster
599395,Hyunseong,0.639 (1),0.806 (4),0.560 (1),0.579 (3),0.575 (2),0.750 (5),0.637 (8),0.569 (1),
592798,seungjae,0.622 (2),0.793 (17),0.444 (7),0.604 (1),0.659 (1),0.769 (2),0.554 (25),0.532 (9),
598764,yjl9122,0.615 (3),0.801 (11),0.537 (3),0.461 (12),0.486 (5),0.768 (3),0.715 (2),0.536 (8),
594367,ddcm,0.608 (4),0.805 (6),0.510 (4),0.586 (2),0.498 (4),0.720 (12),0.598 (15),0.538 (6),
598529,RodrigoTrevisan,0.605 (5),0.802 (9),0.438 (8),0.575 (4),0.516 (3),0.753 (4),0.662 (5),0.492 (28),
601041,SYDu,0.595 (6),0.813 (1),0.416 (12),0.503 (8),0.434 (6),0.732 (9),0.717 (1),0.552 (4),
599603,agri,0.592 (7),0.782 (23),0.558 (2),0.429 (16),0.420 (7),0.775 (1),0.647 (7),0.532 (10),
592608,Tennant,0.574 (8),0.799 (12),0.366 (23),0.548 (6),0.414 (8),0.698 (16),0.669 (4),0.520 (15),
600585,celery030,0.554 (9),0.791 (20),0.389 (17),0.433 (15),0.412 (9),0.730 (10),0.615 (14),0.505 (21),
597925,stevenwudi,0.550 (10),0.774 (26),0.420 (9),0.544 (7),0.201 (17),0.695 (17),0.677 (3),0.538 (5),
599832,PAII,0.550 (11),0.799 (13),0.386 (18),0.476 (10),0.262 (12),0.746 (6),0.621 (11),0.557 (3),
600881,agrichallenge12,0.546 (12),0.809 (3),0.509 (5),0.393 (18),0.292 (11),0.734 (7),0.578 (19),0.505 (20),
600689,hui,0.540 (13),0.802 (10),0.416 (11),0.464 (11),0.208 (16),0.728 (11),0.648 (6),0.514 (16),
600603,shenchen616,0.537 (14),0.794 (16),0.367 (22),0.563 (5),0.216 (15),0.670 (23),0.618 (12),0.528 (12),
600795,NTU,0.536 (15),0.798 (14),0.414 (13),0.494 (9),0.135 (21),0.733 (8),0.618 (13),0.560 (2),
600911,tpys,0.530 (16),0.811 (2),0.505 (6),0.371 (22),0.259 (13),0.674 (22),0.587 (16),0.501 (24),
600796,Simple,0.527 (17),0.802 (8),0.400 (16),0.452 (14),0.246 (14),0.709 (14),0.576 (20),0.504 (22),
600359,Ursus,0.523 (18),0.789 (21),0.363 (24),0.378 (21),0.344 (10),0.693 (19),0.571 (21),0.523 (14),
599032,liepieshov,0.521 (19),0.772 (27),0.402 (15),0.460 (13),0.160 (18),0.713 (13),0.629 (9),0.511 (18),
598052,Lunhao,0.494 (20),0.795 (15),0.404 (14),0.388 (19),0.105 (23),0.694 (18),0.583 (17),0.491 (29),
601108,tetelias-mipt,0.492 (21),0.804 (7),0.378 (20),0.348 (25),0.046 (28),0.706 (15),0.625 (10),0.538 (7),
586734,Dataloader,0.489 (22),0.791 (19),0.420 (10),0.358 (24),0.091 (26),0.687 (20),0.567 (22),0.513 (17),
599378,Hakjin,0.464 (23),0.786 (22),0.320 (27),0.383 (20),0.018 (31),0.662 (24),0.580 (18),0.499 (26),
593163,JianyuTANG,0.446 (24),0.781 (24),0.379 (19),0.318 (26),0.154 (19),0.473 (32),0.548 (26),0.469 (31),
590197,haossr,0.439 (25),0.792 (18),0.214 (36),0.281 (27),0.027 (29),0.675 (21),0.564 (23),0.523 (13),
601107,rpartsey,0.415 (26),0.725 (33),0.216 (35),0.362 (23),0.091 (25),0.597 (26),0.407 (29),0.506 (19),
598734,baidujjwal,0.408 (27),0.752 (32),0.261 (30),0.401 (17),0.099 (24),0.480 (31),0.371 (31),0.495 (27),
600690,Chaturlal,0.407 (28),0.777 (25),0.230 (31),0.204 (31),0.050 (27),0.550 (29),0.510 (27),0.529 (11),
595745,Sciforce,0.402 (29),0.805 (5),0.296 (28),0.244 (30),0.000 (35),0.412 (35),0.559 (24),0.500 (25),
597748,MustafaA,0.401 (30),0.765 (29),0.344 (25),0.256 (28),0.111 (22),0.460 (33),0.365 (32),0.503 (23),
597056,HaotianYan,0.368 (31),0.771 (28),0.219 (33),0.251 (29),0.137 (20),0.575 (27),0.243 (34),0.379 (36),
585923,gro,0.363 (32),0.764 (31),0.375 (21),0.084 (35),0.000 (36),0.603 (25),0.297 (33),0.418 (33),
595391,oscmansan,0.355 (33),0.716 (35),0.296 (29),0.030 (36),0.000 (37),0.524 (30),0.462 (28),0.459 (32),
596517,ThorstenC,0.336 (34),0.723 (34),0.223 (32),0.100 (34),0.020 (30),0.408 (36),0.401 (30),0.478 (30),
595713,ZHwang,0.335 (35),0.765 (30),0.324 (26),0.129 (33),0.000 (34),0.572 (28),0.159 (35),0.399 (35),
599640,fayzur20,0.221 (36),0.654 (38),0.218 (34),0.022 (37),0.002 (33),0.233 (37),0.134 (36),0.287 (37),
601087,gaslen2,0.215 (37),0.710 (37),0.033 (37),0.179 (32),0.008 (32),0.102 (38),0.069 (37),0.401 (34),
579821,dvkhandelwal,0.163 (38),0.715 (36),0.000 (39),0.000 (39),0.000 (37),0.426 (34),0.000 (39),0.000 (39),
599854,ajeetsinghiitd,0.103 (39),0.569 (39),0.002 (38),0.004 (38),0.000 (37),0.000 (39),0.001 (38),0.145 (38),
